일시,운형(운형약어),기온(C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(C),현지기압(hPa),해면기압(hPa),일조(hr),적설(cm),시정(10m),지면온도(C)
2017-01-01 00:00,,5.6,,1.6,290.0,72.0,6.5,0.9,1027.5,1029.7,,,2000,2.7
2017-01-01 01:00,,6.6,,2.3,290.0,68.0,6.6,1.1,1027.4,1029.6,,,2000,2.9
2017-01-01 02:00,,5.5,,2.5,270.0,73.0,6.6,1.0,1027.5,1029.7,,,2000,3.3
2017-01-01 03:00,,6.4,,2.7,270.0,70.0,6.7,1.3,1027.4,1029.6,,,2000,3.9
2017-01-01 04:00,,6.9,,2.9,270.0,69.0,6.8,1.5,1027.4,1029.6,,,2000,4.3
2017-01-01 05:00,,6.7,,2.3,270.0,70.0,6.9,1.6,1027.1,1029.3,,,2000,4.3
2017-01-01 06:00,,7.6,,2.7,270.0,68.0,7.1,2.0,1026.9,1029.1,,,2000,5.0
2017-01-01 07:00,,7.2,,1.6,290.0,70.0,7.1,2.0,1027.3,1029.5,,,2000,4.2
2017-01-01 08:00,,5.4,,2.9,290.0,77.0,6.9,1.6,1027.6,1029.8,0.0,,2000,3.4
2017-01-01 09:00,,7.8,,2.2,290.0,70.0,7.4,2.6,1028.0,1030.2,0.7,,2000,5.6
2017-01-01 10:00,,11.2,,1.0,320.0,58.0,7.7,3.2,1028.3,1030.5,0.8,,2000,7.7
2017-01-01 11:00,,12.5,,1.1,320.0,54.0,7.8,3.4,1028.2,1030.4,1.0,,2000,10.4
2017-01-01 12:00,,13.4,,2.1,200.0,51.0,7.8,3.4,1027.5,1029.7,1.0,,2000,16.6
2017-01-01 13:00,,13.5,,3.1,200.0,55.0,8.5,4.6,1026.6,1028.8,1.0,,2000,20.1
2017-01-01 14:00,,13.9,,1.8,180.0,53.0,8.4,4.4,1025.4,1027.5,0.7,,2000,21.0
2017-01-01 15:00,,12.7,,2.1,180.0,60.0,8.8,5.1,1024.7,1026.9,0.5,,2000,15.4
2017-01-01 16:00,,12.7,,1.9,180.0,61.0,8.9,5.3,1024.2,1026.4,0.9,,2000,15.2
2017-01-01 17:00,,12.3,,1.2,110.0,61.0,8.7,4.9,1023.7,1025.9,0.9,,2000,12.5
2017-01-01 18:00,,8.9,,0.2,0.0,79.0,9.0,5.4,1023.4,1025.6,0.2,,2000,8.9
2017-01-01 19:00,,9.3,,1.1,270.0,77.0,9.0,5.4,1023.8,1026.0,,,2000,8.5
2017-01-01 20:00,,9.6,,1.2,290.0,75.0,8.9,5.3,1023.8,1026.0,,,2000,8.3
2017-01-01 21:00,,9.6,,1.9,290.0,75.0,8.9,5.3,1023.8,1026.0,,,2000,8.2
2017-01-01 22:00,,9.4,,1.2,320.0,75.0,8.8,5.1,1023.1,1025.3,,,2000,8.0
2017-01-01 23:00,,8.7,,2.0,290.0,78.0,8.7,5.0,1022.6,1024.8,,,2000,7.6
2017-01-02 00:00,,8.8,,2.2,290.0,75.0,8.5,4.6,1022.4,1024.6,,,2000,7.4
2017-01-02 01:00,,8.9,,1.6,290.0,76.0,8.6,4.8,1021.9,1024.1,,,2000,7.4
2017-01-02 02:00,,9.2,,1.4,290.0,76.0,8.8,5.1,1021.4,1023.6,,,2000,7.6
2017-01-02 03:00,,9.4,,1.5,290.0,76.0,8.9,5.3,1021.5,1023.7,,,2000,7.7
2017-01-02 04:00,,9.4,,1.3,320.0,77.0,9.0,5.5,1020.9,1023.1,,,2000,7.8
2017-01-02 05:00,,8.5,,1.6,290.0,81.0,9.0,5.4,1020.1,1022.3,,,2000,6.9
2017-01-02 06:00,,10.1,,1.7,290.0,74.0,9.1,5.6,1020.0,1022.2,,,2000,7.7
2017-01-02 07:00,,10.1,,1.7,290.0,82.0,10.1,7.1,1020.4,1022.6,,,2000,8.1
2017-01-02 08:00,,10.4,,1.5,290.0,84.0,10.6,7.8,1020.7,1022.9,0.0,,2000,8.6
2017-01-02 09:00,,10.6,0.1,1.3,320.0,88.0,11.2,8.6,1021.2,1023.4,0.0,,852,9.3
2017-01-02 10:00,,10.8,,2.6,340.0,92.0,11.9,9.5,1021.4,1023.6,0.0,,728,10.4
2017-01-02 11:00,,11.3,,1.6,290.0,86.0,11.5,9.0,1021.6,1023.8,0.0,,2000,11.1
2017-01-02 12:00,,12.0,0.0,2.6,290.0,79.0,11.0,8.4,1020.7,1022.9,0.0,,2000,12.1
2017-01-02 13:00,,13.4,,1.6,340.0,71.0,10.9,8.2,1019.9,1022.0,0.1,,2000,18.3
2017-01-02 14:00,,13.6,,2.5,340.0,75.0,11.6,9.2,1019.5,1021.6,0.5,,2000,15.9
2017-01-02 15:00,,14.0,,1.9,360.0,71.0,11.3,8.8,1019.2,1021.3,0.2,,2000,16.3
2017-01-02 16:00,,13.0,,3.2,340.0,76.0,11.3,8.8,1019.6,1021.7,0.3,,2000,13.3
2017-01-02 17:00,,12.4,,2.3,290.0,76.0,10.9,8.2,1019.9,1022.1,0.1,,2000,11.5
2017-01-02 18:00,,10.8,,1.1,290.0,81.0,10.4,7.6,1020.2,1022.4,0.0,,2000,9.5
2017-01-02 19:00,,10.6,,4.3,290.0,78.0,9.9,6.9,1020.4,1022.6,,,2000,8.4
2017-01-02 20:00,,9.6,,4.1,290.0,82.0,9.7,6.6,1020.8,1023.0,,,2000,7.7
2017-01-02 21:00,,9.5,,3.6,290.0,82.0,9.7,6.5,1021.3,1023.5,,,2000,7.4
2017-01-02 22:00,,8.5,,2.3,290.0,86.0,9.5,6.2,1021.4,1023.6,,,1726,6.8
2017-01-02 23:00,,8.1,,1.7,290.0,87.0,9.3,6.0,1021.2,1023.4,,,1496,6.8
2017-01-03 00:00,,8.5,,1.0,290.0,86.0,9.5,6.2,1020.9,1023.1,,,1776,6.2
2017-01-03 01:00,,6.1,,0.2,0.0,91.0,8.5,4.7,1020.7,1022.9,,,899,5.0
2017-01-03 02:00,,8.4,,2.5,290.0,86.0,9.4,6.1,1020.9,1023.1,,,1976,4.9
2017-01-03 03:00,,9.2,,4.1,290.0,82.0,9.5,6.2,1021.4,1023.6,,,1973,6.4
2017-01-03 04:00,,8.9,,4.3,290.0,79.0,9.0,5.4,1021.6,1023.8,,,961,6.3
2017-01-03 05:00,,7.6,,3.0,290.0,85.0,8.8,5.2,1021.7,1023.9,,,391,5.6
2017-01-03 06:00,,7.0,,3.2,290.0,85.0,8.5,4.6,1021.6,1023.8,,,244,5.0
2017-01-03 07:00,,7.5,,4.4,290.0,80.0,8.2,4.2,1021.8,1024.0,,,261,5.0
2017-01-03 08:00,,6.7,,2.1,290.0,82.0,8.0,3.8,1022.3,1024.5,0.0,,265,4.6
2017-01-03 09:00,,7.7,,2.3,290.0,75.0,7.8,3.5,1022.5,1024.7,0.6,,384,5.6
2017-01-03 10:00,,9.2,,2.8,320.0,67.0,7.7,3.3,1023.0,1025.2,1.0,,534,7.1
2017-01-03 11:00,,10.4,,3.2,320.0,55.0,6.9,1.7,1023.1,1025.3,1.0,,804,8.9
2017-01-03 12:00,,11.1,,3.8,340.0,49.0,6.4,0.7,1022.2,1024.4,1.0,,1162,14.0
2017-01-03 13:00,,11.0,,5.7,360.0,47.0,6.2,0.1,1021.3,1023.5,1.0,,1609,15.4
2017-01-03 14:00,,11.5,,4.6,340.0,46.0,6.2,0.2,1020.6,1022.8,1.0,,1587,16.5
2017-01-03 15:00,,12.0,,3.0,320.0,31.0,4.3,-4.6,1020.6,1022.8,1.0,,2000,16.2
2017-01-03 16:00,,12.0,,2.3,320.0,38.0,5.3,-1.9,1020.5,1022.7,1.0,,2000,15.4
2017-01-03 17:00,,10.4,,1.9,340.0,44.0,5.6,-1.3,1020.7,1022.9,1.0,,2000,9.2
2017-01-03 18:00,,8.6,,2.3,290.0,46.0,5.2,-2.3,1020.8,1023.0,0.2,,2000,5.8
2017-01-03 19:00,,6.7,,3.6,290.0,52.0,5.1,-2.4,1021.0,1023.2,,,2000,4.4
2017-01-03 20:00,,6.6,,4.3,290.0,43.0,4.2,-5.1,1021.0,1023.2,,,2000,3.3
2017-01-03 21:00,,6.8,,4.6,290.0,53.0,5.2,-2.1,1021.3,1023.5,,,2000,3.5
2017-01-03 22:00,,6.9,,3.8,290.0,57.0,5.7,-1.0,1021.1,1023.3,,,2000,3.6
2017-01-03 23:00,,7.2,,4.0,290.0,66.0,6.7,1.2,1021.2,1023.4,,,2000,4.1
2017-01-04 00:00,,7.0,,4.4,290.0,75.0,7.5,2.8,1021.0,1023.2,,,1764,4.5
2017-01-04 01:00,,7.0,,4.1,290.0,72.0,7.2,2.2,1020.6,1022.8,,,2000,4.4
2017-01-04 02:00,,7.2,,5.0,290.0,72.0,7.3,2.4,1020.7,1022.9,,,2000,4.4
2017-01-04 03:00,,6.9,,2.6,340.0,76.0,7.5,2.9,1020.7,1022.9,,,1605,3.9
2017-01-04 04:00,,7.6,,4.1,290.0,75.0,7.8,3.4,1020.8,1023.0,,,1484,4.6
2017-01-04 05:00,,7.1,,1.1,340.0,78.0,7.8,3.5,1020.5,1022.7,,,1295,3.6
2017-01-04 06:00,,7.6,,3.3,290.0,74.0,7.7,3.2,1020.2,1022.4,,,1535,4.3
2017-01-04 07:00,,6.9,,0.7,360.0,69.0,6.8,1.5,1020.9,1023.1,,,2000,3.1
2017-01-04 08:00,,7.1,,1.6,320.0,65.0,6.5,0.9,1021.2,1023.4,0.0,,2000,3.4
2017-01-04 09:00,,8.4,,1.8,290.0,61.0,6.7,1.3,1022.0,1024.2,0.8,,2000,4.4
2017-01-04 10:00,,10.7,,3.4,290.0,50.0,6.4,0.6,1021.9,1024.1,1.0,,2000,6.7
2017-01-04 11:00,,11.2,,3.1,320.0,48.0,6.3,0.5,1021.9,1024.1,1.0,,2000,9.2
2017-01-04 12:00,,11.5,,2.8,320.0,42.0,5.7,-0.9,1021.1,1023.3,0.9,,2000,11.7
2017-01-04 13:00,,10.9,,4.0,340.0,60.0,7.8,3.4,1020.5,1022.7,1.0,,833,14.1
2017-01-04 14:00,,11.3,,2.9,320.0,64.0,8.5,4.7,1019.8,1022.0,0.9,,755,14.2
2017-01-04 15:00,,11.6,,3.8,340.0,64.0,8.7,5.0,1019.4,1021.6,1.0,,720,17.3
2017-01-04 16:00,,11.4,,2.9,320.0,64.0,8.6,4.8,1019.4,1021.6,1.0,,714,13.7
2017-01-04 17:00,,10.1,,2.3,320.0,70.0,8.6,4.8,1019.7,1021.9,0.7,,598,9.3
2017-01-04 18:00,,8.6,,2.0,290.0,76.0,8.5,4.6,1020.4,1022.6,0.0,,529,7.0
2017-01-04 19:00,,8.4,,2.5,290.0,78.0,8.5,4.7,1020.4,1022.6,,,482,6.3
2017-01-04 20:00,,8.6,,3.3,290.0,77.0,8.5,4.7,1020.6,1022.8,,,477,6.1
2017-01-04 21:00,,7.6,,0.8,70.0,81.0,8.4,4.5,1021.0,1023.2,,,452,5.8
2017-01-04 22:00,,6.7,,0.7,70.0,85.0,8.3,4.3,1021.0,1023.2,,,379,5.3
2017-01-04 23:00,,8.2,,2.0,290.0,80.0,8.7,4.9,1020.9,1023.1,,,425,5.7
2017-01-05 00:00,,8.0,,2.0,320.0,81.0,8.7,4.9,1020.5,1022.7,,,425,5.8
2017-01-05 01:00,,7.9,,2.0,290.0,84.0,8.9,5.3,1020.1,1022.3,,,352,5.8
2017-01-05 02:00,,7.3,,0.2,0.0,86.0,8.8,5.1,1020.4,1022.6,,,307,5.6
2017-01-05 03:00,,7.9,,2.2,290.0,80.0,8.5,4.6,1020.7,1022.9,,,364,5.8
2017-01-05 04:00,,8.3,,1.2,290.0,77.0,8.4,4.4,1020.1,1022.3,,,400,6.0
2017-01-05 05:00,,8.1,,1.4,270.0,72.0,7.7,3.3,1019.8,1022.0,,,570,5.9
2017-01-05 06:00,,8.7,,1.5,290.0,71.0,8.0,3.7,1019.8,1022.0,,,576,5.9
2017-01-05 07:00,,8.9,,1.1,290.0,74.0,8.4,4.5,1020.6,1022.8,,,498,6.3
2017-01-05 08:00,,9.7,,2.1,340.0,74.0,8.8,5.2,1020.8,1023.0,0.0,,490,7.0
2017-01-05 09:00,,11.0,,1.3,360.0,73.0,9.5,6.3,1021.1,1023.3,0.0,,630,8.5
2017-01-05 10:00,,13.0,,3.0,50.0,72.0,10.7,8.0,1021.6,1023.7,0.0,,930,10.8
2017-01-05 11:00,,14.2,,2.7,50.0,62.0,10.0,7.0,1021.8,1023.9,0.0,,1166,12.9
2017-01-05 12:00,,14.3,,3.9,70.0,60.0,9.7,6.6,1021.3,1023.4,0.0,,2000,13.3
2017-01-05 13:00,,14.6,,4.2,70.0,58.0,9.6,6.4,1020.5,1022.6,0.0,,2000,15.3
2017-01-05 14:00,,14.0,,4.3,70.0,61.0,9.7,6.5,1020.0,1022.1,0.0,,2000,13.3
2017-01-05 15:00,,13.2,,4.5,70.0,66.0,9.9,6.9,1020.2,1022.3,0.0,,2000,11.3
2017-01-05 16:00,,13.3,,4.8,50.0,62.0,9.4,6.1,1020.5,1022.6,0.0,,2000,10.8
2017-01-05 17:00,,13.2,,3.9,50.0,71.0,10.7,8.0,1020.9,1023.0,0.0,,2000,10.7
2017-01-05 18:00,,13.3,0.0,5.8,70.0,76.0,11.6,9.1,1020.9,1023.0,0.0,,1986,10.6
2017-01-05 19:00,,12.4,,5.7,70.0,80.0,11.5,9.0,1021.2,1023.4,,,1885,10.4
2017-01-05 20:00,,12.3,,5.8,70.0,82.0,11.7,9.3,1021.5,1023.7,,,1620,10.3
2017-01-05 21:00,,11.4,5.3,6.2,70.0,88.0,11.8,9.4,1021.4,1023.6,,,535,10.3
2017-01-05 22:00,,11.4,,6.9,50.0,88.0,11.8,9.4,1021.6,1023.8,,,1305,10.2
2017-01-05 23:00,,11.4,,6.8,50.0,89.0,11.9,9.6,1021.3,1023.5,,,808,10.1
2017-01-06 00:00,,11.5,7.6,6.6,70.0,84.0,11.3,8.8,1021.2,1023.4,,,632,10.0
2017-01-06 01:00,,12.1,,7.0,70.0,76.0,10.6,7.9,1020.8,1023.0,,,2000,9.7
2017-01-06 02:00,,12.0,,6.3,50.0,70.0,9.7,6.6,1021.6,1023.8,,,2000,9.4
2017-01-06 03:00,,11.5,0.5,7.4,50.0,72.0,9.7,6.6,1022.1,1024.3,,,2000,9.1
2017-01-06 04:00,,11.3,,6.1,50.0,67.0,8.9,5.3,1022.2,1024.4,,,2000,8.8
2017-01-06 05:00,,11.3,,6.7,50.0,64.0,8.5,4.7,1021.8,1024.0,,,2000,8.5
2017-01-06 06:00,,11.3,,5.8,50.0,65.0,8.7,4.9,1022.3,1024.5,,,2000,8.5
2017-01-06 07:00,,11.3,,5.1,50.0,65.0,8.7,4.9,1022.9,1025.1,,,2000,8.3
2017-01-06 08:00,,11.3,,5.8,50.0,64.0,8.5,4.7,1023.2,1025.4,0.0,,2000,8.3
2017-01-06 09:00,,11.5,,5.9,70.0,65.0,8.8,5.1,1023.6,1025.8,0.0,,2000,8.7
2017-01-06 10:00,,12.0,,4.5,50.0,64.0,8.9,5.3,1023.9,1026.1,0.1,,2000,10.1
2017-01-06 11:00,,12.7,,4.4,50.0,60.0,8.8,5.1,1023.6,1025.8,0.5,,2000,12.6
2017-01-06 12:00,,12.6,,4.7,70.0,62.0,9.0,5.5,1022.7,1024.9,0.1,,2000,13.0
2017-01-06 13:00,,13.0,,5.0,50.0,59.0,8.8,5.1,1021.7,1023.8,0.7,,2000,16.9
2017-01-06 14:00,,12.8,,4.3,50.0,58.0,8.5,4.7,1021.0,1023.1,1.0,,2000,16.5
2017-01-06 15:00,,12.8,,3.8,50.0,61.0,9.0,5.4,1020.9,1023.0,0.7,,2000,15.0
2017-01-06 16:00,,12.8,,4.1,50.0,61.0,9.0,5.4,1020.9,1023.0,0.6,,2000,14.9
2017-01-06 17:00,,12.2,,3.8,50.0,66.0,9.3,6.0,1020.8,1023.0,0.5,,2000,11.7
2017-01-06 18:00,,11.6,,3.1,50.0,65.0,8.8,5.2,1021.2,1023.4,0.0,,2000,9.8
2017-01-06 19:00,,11.6,,3.2,50.0,63.0,8.5,4.7,1021.5,1023.7,,,2000,8.7
2017-01-06 20:00,,11.8,,3.1,50.0,63.0,8.7,4.9,1021.6,1023.8,,,2000,8.7
2017-01-06 21:00,,11.9,,2.9,50.0,64.0,8.8,5.2,1021.3,1023.5,,,2000,8.7
2017-01-06 22:00,,12.1,,3.5,50.0,62.0,8.7,5.0,1021.1,1023.3,,,2000,8.7
2017-01-06 23:00,,12.1,,3.0,50.0,62.0,8.7,5.0,1021.1,1023.3,,,2000,8.8
2017-01-07 00:00,,12.2,,3.5,50.0,62.0,8.8,5.1,1020.6,1022.8,,,2000,8.6
2017-01-07 01:00,,12.0,,2.6,50.0,63.0,8.8,5.1,1020.4,1022.6,,,2000,8.7
2017-01-07 02:00,,11.9,,3.4,70.0,63.0,8.7,5.0,1019.6,1021.8,,,2000,8.3
