일시,기온(C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(C),현지기압(hPa),해면기압(hPa),일조(hr),적설(cm),지면온도(C),default,Sc,ScCi,AcCi,Ci,ScAs,StNs,CuSc,ScAc,AsCi,ScAcCi,Ac,ScNs,StAs,St,ScAsCi,As,CbStNs,CbScAs,CuCi,CbSc,CuAc,CuAcCi,CuScAc,CuAs,CuScCi,CuScAcCi,Cu,발전량
2015-01-01 00:00,2.9,0.0,5.6,290.0,62.0,4.7,-3.6,1020.2,1022.4,0.0,0.0,1.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.127000000000002
2015-01-01 01:00,3.0,0.0,6.2,290.0,53.0,4.0,-5.6,1019.8,1022.0,0.0,0.0,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.988
2015-01-01 02:00,2.6,0.0,7.1,290.0,64.0,4.7,-3.5,1019.6,1021.8,0.0,0.0,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.454
2015-01-01 03:00,3.3,0.0,5.4,290.0,54.0,4.2,-5.1,1019.8,1022.0,0.0,0.0,1.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.066
2015-01-01 04:00,1.2,0.0,4.6,290.0,81.0,5.4,-1.7,1020.6,1022.8,0.0,0.0,1.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.167999999999998
2015-01-01 05:00,0.1,0.0,3.1,290.0,91.0,5.6,-1.1,1020.4,1022.7,0.0,0.5,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.749
2015-01-01 06:00,-0.4,2.7,3.2,290.0,92.0,5.5,-1.5,1020.4,1022.7,0.0,2.5,1.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.011
2015-01-01 07:00,-0.6,0.0,3.8,290.0,91.0,5.4,-1.8,1020.7,1023.0,0.0,2.9,1.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.917000000000002
2015-01-01 08:00,0.5,0.0,5.5,290.0,79.0,5.0,-2.7,1021.0,1023.3,0.0,2.8,1.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36
2015-01-01 09:00,0.0,1.5,4.8,290.0,90.0,5.5,-1.4,1021.5,1023.8,0.1,2.9,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.082000000000002
2015-01-01 10:00,0.2,0.0,7.5,290.0,82.0,5.1,-2.5,1022.5,1024.8,0.6,3.0,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54
2015-01-01 11:00,-0.6,0.0,3.3,320.0,93.0,5.5,-1.5,1022.5,1024.8,0.3,4.2,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.189
2015-01-01 12:00,-0.1,3.5,3.3,290.0,92.0,5.6,-1.2,1022.1,1024.4,0.1,5.5,1.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.434
2015-01-01 13:00,0.1,0.0,3.5,290.0,87.0,5.4,-1.8,1021.5,1023.8,0.1,5.7,1.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.879
2015-01-01 14:00,1.5,0.0,4.5,290.0,68.0,4.6,-3.7,1021.0,1023.2,0.6,4.9,1.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.898
2015-01-01 15:00,1.5,0.4,5.7,290.0,72.0,4.9,-3.0,1021.2,1023.4,0.8,3.5,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.697
2015-01-01 16:00,2.2,0.0,3.8,290.0,65.0,4.6,-3.7,1022.3,1024.5,0.8,3.2,1.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7810000000000015
2015-01-01 17:00,1.5,0.0,5.0,290.0,69.0,4.7,-3.5,1022.3,1024.6,0.3,3.2,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.694
2015-01-01 18:00,1.6,0.1,4.1,320.0,61.0,4.2,-5.1,1022.8,1025.1,0.0,3.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.822999999999999
2015-01-01 19:00,1.8,0.0,4.0,290.0,64.0,4.5,-4.2,1023.2,1025.4,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.472
2015-01-01 20:00,1.9,0.0,2.9,290.0,64.0,4.5,-4.2,1023.9,1026.1,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.615
2015-01-01 21:00,2.0,0.0,3.1,290.0,62.0,4.4,-4.5,1024.2,1026.4,0.0,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.066
2015-01-01 22:00,2.1,0.0,2.9,290.0,68.0,4.8,-3.2,1024.6,1026.8,0.0,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.773
2015-01-01 23:00,1.9,0.0,1.5,270.0,73.0,5.1,-2.4,1024.5,1026.8,0.0,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.864
2015-01-02 00:00,1.7,0.1,2.2,290.0,77.0,5.3,-1.9,1023.7,1026.0,0.0,3.0,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.717
2015-01-02 01:00,2.4,0.0,3.0,290.0,63.0,4.6,-3.9,1023.2,1025.4,0.0,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
2015-01-02 02:00,2.4,0.0,2.5,290.0,73.0,5.3,-1.9,1023.2,1025.4,0.0,0.0,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.091
2015-01-02 03:00,2.4,0.2,2.6,290.0,73.0,5.3,-1.9,1023.2,1025.4,0.0,2.5,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.503
2015-01-02 04:00,2.6,0.0,3.9,290.0,69.0,5.1,-2.5,1022.8,1025.0,0.0,2.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.537
2015-01-02 05:00,2.9,0.0,5.3,290.0,67.0,5.0,-2.6,1022.5,1024.7,0.0,2.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9760000000000004
2015-01-02 06:00,3.2,0.1,4.0,290.0,59.0,4.5,-4.0,1022.2,1024.4,0.0,2.5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.555
2015-01-02 07:00,2.9,0.0,2.0,270.0,63.0,4.8,-3.4,1022.2,1024.4,0.0,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.964
2015-01-02 08:00,3.8,0.0,3.2,290.0,59.0,4.8,-3.4,1022.5,1024.7,0.0,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.154
2015-01-02 09:00,4.2,0.0,3.6,290.0,54.0,4.4,-4.3,1022.8,1025.0,0.0,1.8,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08
2015-01-02 10:00,4.3,0.0,4.5,290.0,54.0,4.5,-4.2,1023.4,1025.6,0.1,1.8,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.311
2015-01-02 11:00,5.0,0.0,5.2,290.0,51.0,4.4,-4.3,1023.4,1025.6,0.4,1.2,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.296
2015-01-02 12:00,5.4,0.0,3.6,290.0,52.0,4.7,-3.6,1022.8,1025.0,0.2,0.0,4.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.067
2015-01-02 13:00,5.8,0.0,5.1,290.0,56.0,5.2,-2.3,1021.9,1024.1,0.9,0.0,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.584
2015-01-02 14:00,6.3,0.0,3.9,270.0,61.0,5.8,-0.6,1021.1,1023.3,0.4,0.0,6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4689999999999985
2015-01-02 15:00,7.2,0.0,6.6,290.0,48.0,4.9,-3.0,1021.3,1023.5,0.7,0.0,6.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.356
2015-01-02 16:00,6.2,0.0,5.0,290.0,48.0,4.5,-4.0,1021.7,1023.9,0.3,0.0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.647
2015-01-02 17:00,5.8,0.0,4.8,290.0,51.0,4.7,-3.5,1021.8,1024.0,0.0,0.0,3.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.154
2015-01-02 18:00,5.3,0.0,4.4,290.0,53.0,4.7,-3.5,1022.5,1024.7,0.0,0.0,2.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3210000000000015
2015-01-02 19:00,4.2,0.0,3.5,320.0,68.0,5.6,-1.1,1023.4,1025.6,0.0,0.0,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.041
2015-01-02 20:00,3.2,0.0,3.4,320.0,68.0,5.2,-2.1,1024.0,1026.2,0.0,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2620000000000005
2015-01-02 21:00,2.2,0.0,2.8,320.0,70.0,5.0,-2.7,1025.2,1027.4,0.0,0.0,1.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.572
